iter	Passed	Remaining
0	202	202058
1	351	175306
2	516	171815
3	667	166113
4	819	163025
5	969	160667
6	1341	190292
7	1659	205796
8	1917	211087
9	2105	208406
10	2260	203270
11	2414	198824
12	2566	194850
13	2719	191549
14	2870	188498
15	3020	185733
16	3170	183342
17	3320	181170
18	3472	179302
19	3618	177295
20	3768	175699
21	3920	174276
22	4080	173313
23	4228	171944
24	4382	170907
25	4545	170279
26	4699	169356
27	4854	168504
28	5006	167628
29	5174	167308
30	5326	166493
31	5477	165703
32	5630	164997
33	5786	164417
34	5940	163790
35	6230	166843
36	6400	166584
37	6560	166084
38	6719	165577
39	6881	165152
40	7029	164420
41	7183	163852
42	7338	163325
43	7520	163397
44	7669	162758
45	7825	162296
46	7977	161750
47	8135	161352
48	8289	160890
49	8452	160588
50	8601	160063
51	8758	159668
52	8911	159238
53	9328	163425
54	9542	163951
55	9696	163460
56	9853	163007
57	10001	162438
58	10157	162009
59	10310	161538
60	10468	161143
61	10622	160712
62	10779	160320
63	10932	159884
64	11120	159958
65	11278	159605
66	11432	159195
67	11586	158796
68	11739	158404
69	11893	158014
70	12060	157805
71	12212	157410
72	12371	157099
73	12533	156841
74	12687	156480
75	12841	156131
76	12993	155751
77	13170	155677
78	13322	155318
79	13470	154910
80	13620	154537
81	13773	154195
82	13920	153800
83	14080	153546
84	14230	153188
85	14376	152788
86	14526	152442
87	14675	152094
88	14829	151793
89	14979	151454
90	15131	151147
91	15282	150832
92	15435	150534
93	15589	150256
94	15742	149969
95	15895	149680
96	16054	149452
97	16212	149221
98	16364	148935
99	16525	148725
100	16671	148393
101	16821	148091
102	16971	147796
103	17124	147531
104	17279	147285
105	17424	146956
106	17572	146658
107	17728	146422
108	17882	146179
109	18041	145971
110	18194	145720
111	18356	145540
112	18508	145284
113	18661	145037
114	18817	144810
115	18971	144573
116	19141	144461
117	19295	144225
118	19450	143997
119	19605	143776
120	19764	143576
121	19915	143325
122	20292	144689
123	20450	144472
124	20615	144310
125	20773	144096
126	20930	143873
127	21085	143643
128	21242	143426
129	21394	143175
130	21591	143227
131	21749	143019
132	21903	142786
133	22061	142577
134	22213	142333
135	22364	142080
136	22516	141835
137	22669	141600
138	22819	141349
139	22972	141113
140	23128	140904
141	23277	140645
142	23427	140398
143	23577	140153
144	23726	139901
145	23875	139656
146	24023	139402
147	24170	139146
148	24319	138898
149	24468	138654
150	24625	138459
151	24774	138212
152	24923	137975
153	25074	137746
154	25224	137512
155	25372	137273
156	25518	137017
157	25670	136802
158	25816	136552
159	25964	136312
160	26132	136181
161	26281	135947
162	26426	135700
163	26576	135473
164	26724	135240
165	26875	135023
166	27049	134924
167	27198	134694
168	27352	134496
169	27504	134285
170	27659	134092
171	27812	133885
172	27972	133718
173	28130	133538
174	28286	133352
175	28443	133166
176	28606	133009
177	28759	132810
178	28914	132618
179	29071	132434
180	29221	132224
181	29372	132016
182	29523	131805
183	29676	131610
184	29831	131420
185	29986	131229
186	30147	131070
187	30303	130887
188	30457	130694
189	30618	130532
190	30771	130337
191	30929	130161
192	31083	129972
193	31235	129770
194	31390	129587
195	31544	129395
196	31693	129186
197	31840	128971
198	31987	128754
199	32142	128570
200	32300	128397
201	32454	128212
202	32625	128092
203	32790	127947
204	32958	127814
205	33122	127665
206	33268	127450
207	33422	127262
208	33576	127074
209	33731	126894
210	33885	126708
211	34056	126587
212	34210	126403
213	34365	126221
214	34516	126026
